iter	Passed	Remaining
0	1	119
1	2	126
2	4	131
3	5	134
4	7	138
5	8	134
6	9	124
7	10	121
8	11	116
9	12	112
10	13	108
11	14	103
12	15	101
13	16	101
14	18	102
15	19	103
16	21	104
17	22	102
18	23	99
19	24	97
20	26	98
21	27	98
22	28	95
23	29	93
24	30	91
25	31	90
26	33	90
27	35	90
28	36	90
29	37	87
30	38	85
31	39	83
32	40	83
33	41	81
34	42	79
35	43	77
36	44	75
37	45	74
38	46	73
39	48	72
40	49	71
41	51	71
42	52	69
43	53	67
44	54	66
45	56	66
46	57	64
47	58	62
48	58	61
49	59	59
50	61	58
51	62	57
52	63	56
53	65	55
54	66	54
55	68	53
56	69	52
57	70	51
58	71	49
59	72	48
60	73	47
61	74	45
62	75	44
63	77	43
64	78	42
65	79	40
66	80	39
67	81	38
68	82	37
69	84	36
70	85	35
71	87	33
72	87	32
73	88	31
74	89	29
75	90	28
76	92	27
77	93	26
78	93	24
79	95	23
80	96	22
81	98	21
82	99	20
83	100	19
84	102	18
85	103	16
86	104	15
87	105	14
88	105	13
89	107	11
90	108	10
91	109	9
92	110	8
93	111	7
94	113	5
95	114	4
96	115	3
97	117	2
98	118	1
99	118	0
